"Colony","Day","Multiplier","PollenWeightG"
12,35,1,4.11
13,35,1,7.5
14,35,1,10.62
15,35,1,19.72
16,35,1,21.72
17,35,1,21.7
18,35,1,13.18
19,35,1,9.44
20,35,1,12.04
21,35,1,11.07
22,35,1,10.23
23,35,1,21.31
24,35,1,34.38
1,36,0,NA
2,36,0,NA
3,36,0,NA
4,36,0,NA
5,36,0,NA
6,36,0,NA
7,36,0,NA
8,36,0,NA
9,36,0,NA
10,36,0,NA
11,36,0,NA
12,36,0,NA
13,36,0,NA
14,36,0,NA
15,36,0,NA
16,36,0,NA
17,36,0,NA
18,36,0,NA
19,36,0,NA
20,36,0,NA
21,36,0,NA
22,36,0,NA
23,36,0,NA
24,36,0,NA
1,37,3,66.63
2,37,3,90.93
3,37,3,39.51
4,37,3,34.77
5,37,3,37.08
6,37,3,20.64
7,37,3,63.32
8,37,3,80.83
9,37,3,75.31
10,37,3,45.47
11,37,3,44.05
12,37,3,15.5
13,37,3,38.59
14,37,3,52.06
15,37,3,127.53
16,37,3,91.34
17,37,3,76.12
18,37,3,44.96
19,37,3,37.32
20,37,3,43.22
21,37,3,45.61
22,37,3,39.09
23,37,3,107.93
24,37,3,121.46
1,38,0,NA
2,38,0,NA
3,38,0,NA
4,38,0,NA
5,38,0,NA
6,38,0,NA
7,38,0,NA
8,38,0,NA
9,38,0,NA
10,38,0,NA
11,38,0,NA
12,38,0,NA
13,38,0,NA
14,38,0,NA
15,38,0,NA
16,38,0,NA
17,38,0,NA
18,38,0,NA
19,38,0,NA
20,38,0,NA
21,38,0,NA
22,38,0,NA
23,38,0,NA
24,38,0,NA
1,39,0,NA
2,39,0,NA
3,39,0,NA
4,39,0,NA
5,39,0,NA
6,39,0,NA
7,39,0,NA
8,39,0,NA
9,39,0,NA
10,39,0,NA
11,39,0,NA
12,39,0,NA
13,39,0,NA
14,39,0,NA
15,39,0,NA
16,39,0,NA
17,39,0,NA
18,39,0,NA
19,39,0,NA
20,39,0,NA
21,39,0,NA
22,39,0,NA
23,39,0,NA
24,39,0,NA
1,40,2,173
2,40,2,135
3,40,2,88
4,40,2,67.5
5,40,2,70.5
6,40,2,25.5
7,40,2,100
8,40,2,135.5
9,40,2,188.5
10,40,2,149
11,40,2,141
12,40,2,55.5
13,40,2,115
14,40,2,171.5
15,40,2,224.5
16,40,2,194
17,40,2,200
18,40,2,155
19,40,2,138.5
20,40,2,171
21,40,2,125
22,40,2,152
23,40,2,299
24,40,2,308
1,41,0,NA
2,41,0,NA
3,41,0,NA
4,41,0,NA
5,41,0,NA
6,41,0,NA
